START_TIME,QUANTITY_KWH
2022-07-31 22:00:00+00:00,803437.521
2022-07-31 23:00:00+00:00,724601.945
2022-08-01 00:00:00+00:00,677458.06
2022-08-01 01:00:00+00:00,649604.238
2022-08-01 02:00:00+00:00,632964.935
2022-08-01 03:00:00+00:00,624521.793
2022-08-01 04:00:00+00:00,674894.693
2022-08-01 05:00:00+00:00,752749.887
2022-08-01 06:00:00+00:00,793826.536
2022-08-01 07:00:00+00:00,816024.323
2022-08-01 08:00:00+00:00,833608.843
2022-08-01 09:00:00+00:00,838822.083
2022-08-01 10:00:00+00:00,833281.855
2022-08-01 11:00:00+00:00,822248.115
2022-08-01 12:00:00+00:00,821372.129
2022-08-01 13:00:00+00:00,857269.531
2022-08-01 14:00:00+00:00,936569.167
2022-08-01 15:00:00+00:00,967225.479
2022-08-01 16:00:00+00:00,976669.591
2022-08-01 17:00:00+00:00,980387.302
2022-08-01 18:00:00+00:00,995642.278
2022-08-01 19:00:00+00:00,1017822.142
2022-08-01 20:00:00+00:00,1024651.364
2022-08-01 21:00:00+00:00,939731.49
2022-08-01 22:00:00+00:00,816519.046
2022-08-01 23:00:00+00:00,734211.8
2022-08-02 00:00:00+00:00,689324.537
2022-08-02 01:00:00+00:00,668781.008
2022-08-02 02:00:00+00:00,655993.379
2022-08-02 03:00:00+00:00,648680.11
2022-08-02 04:00:00+00:00,697930.011
2022-08-02 05:00:00+00:00,772163.638
2022-08-02 06:00:00+00:00,814341.967
2022-08-02 07:00:00+00:00,836156.385
2022-08-02 08:00:00+00:00,850224.077
2022-08-02 09:00:00+00:00,857249.962
2022-08-02 10:00:00+00:00,852019.39
2022-08-02 11:00:00+00:00,851601.854
2022-08-02 12:00:00+00:00,876206.569
2022-08-02 13:00:00+00:00,943673.112
2022-08-02 14:00:00+00:00,1056904.572
2022-08-02 15:00:00+00:00,1113019.07
2022-08-02 16:00:00+00:00,1131660.055
2022-08-02 17:00:00+00:00,1130717.379
2022-08-02 18:00:00+00:00,1123969.864
2022-08-02 19:00:00+00:00,1108141.66
2022-08-02 20:00:00+00:00,1066707.896
2022-08-02 21:00:00+00:00,965672.104
2022-08-02 22:00:00+00:00,840037.703
2022-08-02 23:00:00+00:00,752590.76
2022-08-03 00:00:00+00:00,704043.72
2022-08-03 01:00:00+00:00,674244.572
2022-08-03 02:00:00+00:00,658799.557
2022-08-03 03:00:00+00:00,653403.147
2022-08-03 04:00:00+00:00,701169.4
2022-08-03 05:00:00+00:00,779115.222
2022-08-03 06:00:00+00:00,823200.783
2022-08-03 07:00:00+00:00,840304.733
2022-08-03 08:00:00+00:00,857245.287
2022-08-03 09:00:00+00:00,872824.585
2022-08-03 10:00:00+00:00,865227.138
2022-08-03 11:00:00+00:00,857322.811
2022-08-03 12:00:00+00:00,855626.955
2022-08-03 13:00:00+00:00,890518.237
2022-08-03 14:00:00+00:00,972646.247
2022-08-03 15:00:00+00:00,1009982.773
2022-08-03 16:00:00+00:00,1017475.29
2022-08-03 17:00:00+00:00,1018165.425
2022-08-03 18:00:00+00:00,1019123.902
2022-08-03 19:00:00+00:00,1027825.669
2022-08-03 20:00:00+00:00,1026333.945
2022-08-03 21:00:00+00:00,943235.232
2022-08-03 22:00:00+00:00,831151.927
2022-08-03 23:00:00+00:00,748017.911
2022-08-04 00:00:00+00:00,701060.767
2022-08-04 01:00:00+00:00,674141.427
2022-08-04 02:00:00+00:00,655784.684
2022-08-04 03:00:00+00:00,642093.257
2022-08-04 04:00:00+00:00,688460.44
2022-08-04 05:00:00+00:00,765159.644
2022-08-04 06:00:00+00:00,807803.246
2022-08-04 07:00:00+00:00,824604.578
2022-08-04 08:00:00+00:00,835309.094
2022-08-04 09:00:00+00:00,837995.394
2022-08-04 10:00:00+00:00,831511.071
2022-08-04 11:00:00+00:00,830174.186
2022-08-04 12:00:00+00:00,843310.86
2022-08-04 13:00:00+00:00,892293.267
2022-08-04 14:00:00+00:00,983744.998
2022-08-04 15:00:00+00:00,1037988.653
2022-08-04 16:00:00+00:00,1047044.59
2022-08-04 17:00:00+00:00,1039580.748
2022-08-04 18:00:00+00:00,1036976.931
2022-08-04 19:00:00+00:00,1042714.158
2022-08-04 20:00:00+00:00,1025279.822
2022-08-04 21:00:00+00:00,943732.374
2022-08-04 22:00:00+00:00,836070.636
2022-08-04 23:00:00+00:00,760482.174
2022-08-05 00:00:00+00:00,715743.171
2022-08-05 01:00:00+00:00,688746.495
2022-08-05 02:00:00+00:00,668843.234
2022-08-05 03:00:00+00:00,654298.733
2022-08-05 04:00:00+00:00,700158.52
2022-08-05 05:00:00+00:00,783857.101
2022-08-05 06:00:00+00:00,844572.879
2022-08-05 07:00:00+00:00,871389.352
2022-08-05 08:00:00+00:00,884058.433
2022-08-05 09:00:00+00:00,877254.286
2022-08-05 10:00:00+00:00,860304.145
2022-08-05 11:00:00+00:00,845256.359
2022-08-05 12:00:00+00:00,843431.383
2022-08-05 13:00:00+00:00,862379.578
2022-08-05 14:00:00+00:00,910144.482
2022-08-05 15:00:00+00:00,946757.752
2022-08-05 16:00:00+00:00,965874.461
2022-08-05 17:00:00+00:00,968845.179
2022-08-05 18:00:00+00:00,968264.977
2022-08-05 19:00:00+00:00,973854.234
2022-08-05 20:00:00+00:00,970381.818
2022-08-05 21:00:00+00:00,917617.393
2022-08-05 22:00:00+00:00,837233.41
2022-08-05 23:00:00+00:00,762156.431
2022-08-06 00:00:00+00:00,718065.743
2022-08-06 01:00:00+00:00,694540.99
2022-08-06 02:00:00+00:00,683873.0
2022-08-06 03:00:00+00:00,665225.715
2022-08-06 04:00:00+00:00,665848.666
2022-08-06 05:00:00+00:00,705992.908
2022-08-06 06:00:00+00:00,794530.988
2022-08-06 07:00:00+00:00,896009.621
2022-08-06 08:00:00+00:00,955821.627
2022-08-06 09:00:00+00:00,973486.276
2022-08-06 10:00:00+00:00,968434.19
2022-08-06 11:00:00+00:00,950541.828
2022-08-06 12:00:00+00:00,933254.647
2022-08-06 13:00:00+00:00,925375.953
2022-08-06 14:00:00+00:00,933163.724
2022-08-06 15:00:00+00:00,957853.861
2022-08-06 16:00:00+00:00,986672.099
2022-08-06 17:00:00+00:00,985510.62
2022-08-06 18:00:00+00:00,971088.093
2022-08-06 19:00:00+00:00,961565.137
2022-08-06 20:00:00+00:00,956880.505
2022-08-06 21:00:00+00:00,904457.609
2022-08-06 22:00:00+00:00,835196.106
2022-08-06 23:00:00+00:00,770958.333
2022-08-07 00:00:00+00:00,730765.673
2022-08-07 01:00:00+00:00,708948.413
2022-08-07 02:00:00+00:00,700596.248
2022-08-07 03:00:00+00:00,677085.895
2022-08-07 04:00:00+00:00,674676.309
2022-08-07 05:00:00+00:00,703210.759
2022-08-07 06:00:00+00:00,782729.384
2022-08-07 07:00:00+00:00,894585.467
2022-08-07 08:00:00+00:00,986397.243
2022-08-07 09:00:00+00:00,1009482.615
2022-08-07 10:00:00+00:00,999139.311
2022-08-07 11:00:00+00:00,984445.751
2022-08-07 12:00:00+00:00,976725.777
2022-08-07 13:00:00+00:00,993807.436
2022-08-07 14:00:00+00:00,1039117.369
2022-08-07 15:00:00+00:00,1084940.834
2022-08-07 16:00:00+00:00,1105166.705
2022-08-07 17:00:00+00:00,1113208.661
2022-08-07 18:00:00+00:00,1121531.167
2022-08-07 19:00:00+00:00,1120601.83
2022-08-07 20:00:00+00:00,1096111.967
2022-08-07 21:00:00+00:00,990924.202
2022-08-07 22:00:00+00:00,866471.632
2022-08-07 23:00:00+00:00,786831.545
2022-08-08 00:00:00+00:00,743104.13
2022-08-08 01:00:00+00:00,720888.369
2022-08-08 02:00:00+00:00,702246.532
2022-08-08 03:00:00+00:00,698746.955
2022-08-08 04:00:00+00:00,774039.696
2022-08-08 05:00:00+00:00,867751.933
2022-08-08 06:00:00+00:00,878790.568
2022-08-08 07:00:00+00:00,861401.974
2022-08-08 08:00:00+00:00,855996.237
2022-08-08 09:00:00+00:00,852531.549
2022-08-08 10:00:00+00:00,839071.244
2022-08-08 11:00:00+00:00,826086.764
2022-08-08 12:00:00+00:00,823063.638
2022-08-08 13:00:00+00:00,861281.33
2022-08-08 14:00:00+00:00,958677.02
2022-08-08 15:00:00+00:00,1010514.867
2022-08-08 16:00:00+00:00,1022996.286
2022-08-08 17:00:00+00:00,1032824.147
2022-08-08 18:00:00+00:00,1054730.097
2022-08-08 19:00:00+00:00,1087307.42
2022-08-08 20:00:00+00:00,1079350.733
2022-08-08 21:00:00+00:00,988522.567
2022-08-08 22:00:00+00:00,842377.952
2022-08-08 23:00:00+00:00,754060.59
2022-08-09 00:00:00+00:00,712113.946
2022-08-09 01:00:00+00:00,692575.362
2022-08-09 02:00:00+00:00,677518.708
2022-08-09 03:00:00+00:00,670218.225
2022-08-09 04:00:00+00:00,738639.072
2022-08-09 05:00:00+00:00,840005.978
2022-08-09 06:00:00+00:00,855071.123
2022-08-09 07:00:00+00:00,841822.019
2022-08-09 08:00:00+00:00,842044.18
2022-08-09 09:00:00+00:00,841884.783
2022-08-09 10:00:00+00:00,835740.176
2022-08-09 11:00:00+00:00,826886.848
2022-08-09 12:00:00+00:00,829442.885
2022-08-09 13:00:00+00:00,874857.941
2022-08-09 14:00:00+00:00,987095.451
2022-08-09 15:00:00+00:00,1046307.287
2022-08-09 16:00:00+00:00,1059816.866
2022-08-09 17:00:00+00:00,1068739.169
2022-08-09 18:00:00+00:00,1090909.436
2022-08-09 19:00:00+00:00,1113174.144
2022-08-09 20:00:00+00:00,1083371.523
2022-08-09 21:00:00+00:00,971686.109
2022-08-09 22:00:00+00:00,839142.55
2022-08-09 23:00:00+00:00,753371.352
2022-08-10 00:00:00+00:00,705207.17
2022-08-10 01:00:00+00:00,677702.829
2022-08-10 02:00:00+00:00,661201.371
2022-08-10 03:00:00+00:00,657602.363
2022-08-10 04:00:00+00:00,723565.44
2022-08-10 05:00:00+00:00,828193.274
2022-08-10 06:00:00+00:00,844397.904
2022-08-10 07:00:00+00:00,829005.602
2022-08-10 08:00:00+00:00,823397.119
2022-08-10 09:00:00+00:00,819316.842
2022-08-10 10:00:00+00:00,809110.512
2022-08-10 11:00:00+00:00,802443.449
2022-08-10 12:00:00+00:00,801395.905
2022-08-10 13:00:00+00:00,844179.077
2022-08-10 14:00:00+00:00,938776.838
2022-08-10 15:00:00+00:00,981080.632
2022-08-10 16:00:00+00:00,992337.833
2022-08-10 17:00:00+00:00,1004036.109
2022-08-10 18:00:00+00:00,1033557.924
2022-08-10 19:00:00+00:00,1070182.627
2022-08-10 20:00:00+00:00,1068277.807
2022-08-10 21:00:00+00:00,966574.344
2022-08-10 22:00:00+00:00,837335.809
2022-08-10 23:00:00+00:00,747278.249
2022-08-11 00:00:00+00:00,700295.297
2022-08-11 01:00:00+00:00,671299.47
2022-08-11 02:00:00+00:00,649725.243
2022-08-11 03:00:00+00:00,641156.356
2022-08-11 04:00:00+00:00,709962.21
2022-08-11 05:00:00+00:00,811940.059
2022-08-11 06:00:00+00:00,828257.973
2022-08-11 07:00:00+00:00,818853.309
2022-08-11 08:00:00+00:00,813954.371
2022-08-11 09:00:00+00:00,811661.288
2022-08-11 10:00:00+00:00,800331.74
2022-08-11 11:00:00+00:00,790973.165
2022-08-11 12:00:00+00:00,792815.674
2022-08-11 13:00:00+00:00,835003.101
2022-08-11 14:00:00+00:00,919804.009
2022-08-11 15:00:00+00:00,961814.377
2022-08-11 16:00:00+00:00,974098.607
2022-08-11 17:00:00+00:00,989466.462
2022-08-11 18:00:00+00:00,1019549.749
2022-08-11 19:00:00+00:00,1064274.888
2022-08-11 20:00:00+00:00,1064699.227
2022-08-11 21:00:00+00:00,963313.524
2022-08-11 22:00:00+00:00,836851.121
2022-08-11 23:00:00+00:00,751468.382
2022-08-12 00:00:00+00:00,701480.395
2022-08-12 01:00:00+00:00,669198.065
2022-08-12 02:00:00+00:00,643285.321
2022-08-12 03:00:00+00:00,632246.138
2022-08-12 04:00:00+00:00,689790.872
2022-08-12 05:00:00+00:00,787659.763
2022-08-12 06:00:00+00:00,822769.365
2022-08-12 07:00:00+00:00,824992.636
2022-08-12 08:00:00+00:00,823733.014
2022-08-12 09:00:00+00:00,822524.443
2022-08-12 10:00:00+00:00,813157.117
2022-08-12 11:00:00+00:00,805672.392
2022-08-12 12:00:00+00:00,807995.947
2022-08-12 13:00:00+00:00,838613.084
2022-08-12 14:00:00+00:00,898315.409
2022-08-12 15:00:00+00:00,934220.043
2022-08-12 16:00:00+00:00,949429.712
2022-08-12 17:00:00+00:00,952996.784
2022-08-12 18:00:00+00:00,955048.829
2022-08-12 19:00:00+00:00,964254.473
2022-08-12 20:00:00+00:00,960106.5
2022-08-12 21:00:00+00:00,904884.2
2022-08-12 22:00:00+00:00,807665.651
2022-08-12 23:00:00+00:00,728944.827
2022-08-13 00:00:00+00:00,677264.017
2022-08-13 01:00:00+00:00,647026.614
2022-08-13 02:00:00+00:00,629591.886
2022-08-13 03:00:00+00:00,608128.761
2022-08-13 04:00:00+00:00,608174.775
2022-08-13 05:00:00+00:00,655839.703
2022-08-13 06:00:00+00:00,752175.647
2022-08-13 07:00:00+00:00,858965.762
2022-08-13 08:00:00+00:00,917855.17
2022-08-13 09:00:00+00:00,923805.643
2022-08-13 10:00:00+00:00,905388.309
2022-08-13 11:00:00+00:00,877500.698
2022-08-13 12:00:00+00:00,850789.18
2022-08-13 13:00:00+00:00,848912.396
2022-08-13 14:00:00+00:00,870824.772
2022-08-13 15:00:00+00:00,896948.657
2022-08-13 16:00:00+00:00,928872.119
2022-08-13 17:00:00+00:00,937346.054
2022-08-13 18:00:00+00:00,927673.521
2022-08-13 19:00:00+00:00,928275.12
2022-08-13 20:00:00+00:00,920918.162
2022-08-13 21:00:00+00:00,863442.308
2022-08-13 22:00:00+00:00,789361.772
2022-08-13 23:00:00+00:00,721618.274
2022-08-14 00:00:00+00:00,675223.166
2022-08-14 01:00:00+00:00,647763.245
2022-08-14 02:00:00+00:00,629019.017
2022-08-14 03:00:00+00:00,605056.292
2022-08-14 04:00:00+00:00,601350.66
2022-08-14 05:00:00+00:00,633799.928
2022-08-14 06:00:00+00:00,715275.187
2022-08-14 07:00:00+00:00,823803.98
2022-08-14 08:00:00+00:00,895678.414
2022-08-14 09:00:00+00:00,917677.109
2022-08-14 10:00:00+00:00,913558.575
2022-08-14 11:00:00+00:00,896839.775
2022-08-14 12:00:00+00:00,888334.22
2022-08-14 13:00:00+00:00,900495.927
2022-08-14 14:00:00+00:00,935857.625
2022-08-14 15:00:00+00:00,982552.953
2022-08-14 16:00:00+00:00,1030902.604
2022-08-14 17:00:00+00:00,1073557.007
2022-08-14 18:00:00+00:00,1112849.028
2022-08-14 19:00:00+00:00,1145866.518
2022-08-14 20:00:00+00:00,1110794.811
2022-08-14 21:00:00+00:00,967177.401
2022-08-14 22:00:00+00:00,817757.966
2022-08-14 23:00:00+00:00,726430.75
2022-08-15 00:00:00+00:00,676024.306
2022-08-15 01:00:00+00:00,647521.18
2022-08-15 02:00:00+00:00,626324.011
2022-08-15 03:00:00+00:00,629953.144
2022-08-15 04:00:00+00:00,714680.909
2022-08-15 05:00:00+00:00,828688.083
2022-08-15 06:00:00+00:00,822898.09
2022-08-15 07:00:00+00:00,798120.427
2022-08-15 08:00:00+00:00,790230.196
2022-08-15 09:00:00+00:00,786152.683
2022-08-15 10:00:00+00:00,778430.453
2022-08-15 11:00:00+00:00,773595.177
2022-08-15 12:00:00+00:00,785672.432
2022-08-15 13:00:00+00:00,845411.07
2022-08-15 14:00:00+00:00,961124.186
2022-08-15 15:00:00+00:00,1029446.596
2022-08-15 16:00:00+00:00,1059709.996
2022-08-15 17:00:00+00:00,1069899.617
2022-08-15 18:00:00+00:00,1085267.383
2022-08-15 19:00:00+00:00,1100269.736
2022-08-15 20:00:00+00:00,1042073.261
2022-08-15 21:00:00+00:00,909535.314
2022-08-15 22:00:00+00:00,771510.788
2022-08-15 23:00:00+00:00,686031.585
2022-08-16 00:00:00+00:00,640808.837
